"gene_id","hugo_symbol","entrez_gene_id","mean_classical_expression","mean_proneural_expression","classical_sample_count","proneural_sample_count","log2_fold_change","expression_direction"
"1585","CSN1S1","1446","4.07692308","0.58620690","39","29","1.6783734380260356","Higher in Classical"
"4664","NPNT","255743","4100.07692308","1282.06896552","39","29","1.6764040862581369","Higher in Classical"
"1379","CLGN","1047","107.02564103","344.13793103","39","29","-1.6757992442407317","Higher in Proneural"
"1207","CDKN2A","1029","621.94871795","1986.34482759","39","29","-1.673656910300158","Higher in Proneural"
"2498","FOXN4","121643","29.48717949","95.86206897","39","29","-1.6677291330471815","Higher in Proneural"
"1535","CPZ","8532","117.74358974","36.44827586","39","29","1.664878430200769","Higher in Classical"
"3248","INA","9118","365.64102564","1155.41379310","39","29","-1.6572175900100965","Higher in Proneural"
"6369","SHANK2","22941","154.98666667","489.82896552","39","29","-1.6537976733709958","Higher in Proneural"
"1573","CSDC2","27254","322.35897436","1015.51724138","39","29","-1.6524261293013012","Higher in Proneural"
"6500","SLC27A2","11001","3.41025641","12.82758621","39","29","-1.6486148958951938","Higher in Proneural"
"650","BASP1","10409","1120.48717949","3506.79310345","39","29","-1.6451505292389013","Higher in Proneural"
"5152","PCDH15","65217","232.41025641","728.82758621","39","29","-1.644687726607329","Higher in Proneural"
"5084","PABPC5","140886","45.94871795","145.58620690","39","29","-1.6425916915724794","Higher in Proneural"
"983","CAPN13","92291","0.61538462","4.03448276","39","29","-1.639965855389203","Higher in Proneural"
"1511","CPAMD8","27151","151.82051282","48.24137931","39","29","1.633895127590786","Higher in Classical"
"1318","CHRNB4","1143","20.79487179","6.03448276","39","29","1.6314724647137444","Higher in Classical"
"3733","LANCL2","55915","20697.23076923","6720.75862069","39","29","1.6225968138822184","Higher in Classical"
"244","AIFM3","150209","335.35307692","108.44517241","39","29","1.619768136715009","Higher in Classical"
"1180","CDH18","1016","31.79487179","99.75862069","39","29","-1.619361137877663","Higher in Proneural"
"2468","FMOD","2331","5619.74358974","1829.06896552","39","29","1.618862985735178","Higher in Classical"
"5856","RASGRP1","10125","953.92307692","310.20689655","39","29","1.6175104909091542","Higher in Classical"
"2706","GLP1R","2740","1.66666667","7.17241379","39","29","-1.615724752138938","Higher in Proneural"
"5979","RIMS2","9699","44.41025641","137.44827586","39","29","-1.608256999375011","Higher in Proneural"
"5949","RGR","5995","48.92307692","151.00000000","39","29","-1.6062925636758443","Higher in Proneural"
"1349","CLCA4","22802","14.35897436","45.62068966","39","29","-1.601888467279512","Higher in Proneural"
"3608","KLK6","5653","305.17948718","925.41379310","39","29","-1.5972791021554071","Higher in Proneural"
"1435","CNTN6","27255","11.33333333","36.27586207","39","29","-1.5956789481300466","Higher in Proneural"
"4672","NPTX2","4885","3081.41025641","1019.00000000","39","29","1.5954897393440806","Higher in Classical"
"6838","SRRM4","84530","1174.69230769","389.31034483","39","29","1.5908169338011953","Higher in Classical"
"1692","CYP4F12","66002","50.41025641","16.20689655","39","29","1.5790692924079088","Higher in Classical"
"4800","OPLAH","26873","525.71794872","175.58620690","39","29","1.5766579634955262","Higher in Classical"
"4429","MYT1L","23040","159.28205128","474.34482759","39","29","-1.5683615834840574","Higher in Proneural"
"7264","TMEM163","81615","501.17948718","1482.93103448","39","29","-1.5631490401183545","Higher in Proneural"
"4204","MMP1","4312","24.00000000","72.72413793","39","29","-1.5602089527958987","Higher in Proneural"
"1536","CR1L","1379","0.48717949","3.37931034","39","29","-1.5581249110537185","Higher in Proneural"
"5943","RGL3","57139","317.33641026","107.21172414","39","29","1.5566953614352221","Higher in Classical"
"5838","RANBP17","64901","7.41025641","23.65517241","39","29","-1.5516686506023805","Higher in Proneural"
"7316","TMPRSS15","5651","4.25641026","0.79310345","39","29","1.551619157227622","Higher in Classical"
"7484","TRPM3","80036","148.58974359","50.03448276","39","29","1.5514669866105792","Higher in Classical"
"6381","SHROOM3","57619","1386.35897436","473.06896552","39","29","1.5491722717494734","Higher in Classical"
"4788","OLFML1","283298","299.66666667","101.86206897","39","29","1.5474538552796882","Higher in Classical"
"2624","GBP5","115362","296.12820513","100.89655172","39","29","1.5439803305380255","Higher in Classical"
"2994","HIST1H2BF","8343","1.46153846","6.17241379","39","29","-1.5428984414328535","Higher in Proneural"
"2620","GBP1","2633","5403.23076923","1854.20689655","39","29","1.542509193162528","Higher in Classical"
